message;severity;node;stamp;topics;location
"Oh no! I hit the wall! (Clamping from [x=5,528424, y=11,089068])";"4";"/Donatello/sim";"1648659585.094639799";"/Donatello/turtle1/color_sensor,/Donatello/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,528424, y=11,089068])";"4";"/Pavel/sim";"1648659585.089459942";"/Pavel/turtle1/color_sensor,/Pavel/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,528424, y=11,089068])";"4";"/Leonardo/sim";"1648659585.088291076";"/Leonardo/turtle1/color_sensor,/Leonardo/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,560423, y=11,089426])";"4";"/Donatello/sim";"1648659585.078137487";"/Donatello/turtle1/color_sensor,/Donatello/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,560423, y=11,089426])";"4";"/Pavel/sim";"1648659585.073254814";"/Pavel/turtle1/color_sensor,/Pavel/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,560423, y=11,089426])";"4";"/Leonardo/sim";"1648659585.071952763";"/Leonardo/turtle1/color_sensor,/Leonardo/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,592419, y=11,089785])";"4";"/Donatello/sim";"1648659585.062228863";"/Donatello/turtle1/color_sensor,/Donatello/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,592419, y=11,089785])";"4";"/Pavel/sim";"1648659585.057312119";"/Pavel/turtle1/color_sensor,/Pavel/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,592419, y=11,089785])";"4";"/Leonardo/sim";"1648659585.055981299";"/Leonardo/turtle1/color_sensor,/Leonardo/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,624406, y=11,090143])";"4";"/Donatello/sim";"1648659585.046263197";"/Donatello/turtle1/color_sensor,/Donatello/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,624406, y=11,090143])";"4";"/Pavel/sim";"1648659585.041113834";"/Pavel/turtle1/color_sensor,/Pavel/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,624406, y=11,090143])";"4";"/Leonardo/sim";"1648659585.040013768";"/Leonardo/turtle1/color_sensor,/Leonardo/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,656382, y=11,090501])";"4";"/Donatello/sim";"1648659585.030365410";"/Donatello/turtle1/color_sensor,/Donatello/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,656382, y=11,090501])";"4";"/Pavel/sim";"1648659585.025634046";"/Pavel/turtle1/color_sensor,/Pavel/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,656381, y=11,090501])";"4";"/Leonardo/sim";"1648659585.023968315";"/Leonardo/turtle1/color_sensor,/Leonardo/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,688341, y=11,090859])";"4";"/Donatello/sim";"1648659585.014564183";"/Donatello/turtle1/color_sensor,/Donatello/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,688341, y=11,090859])";"4";"/Pavel/sim";"1648659585.009784343";"/Pavel/turtle1/color_sensor,/Pavel/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,688341, y=11,090859])";"4";"/Leonardo/sim";"1648659585.007663717";"/Leonardo/turtle1/color_sensor,/Leonardo/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,720280, y=11,091216])";"4";"/Donatello/sim";"1648659584.998262385";"/Donatello/turtle1/color_sensor,/Donatello/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,720280, y=11,091216])";"4";"/Pavel/sim";"1648659584.994302256";"/Pavel/turtle1/color_sensor,/Pavel/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,720280, y=11,091216])";"4";"/Leonardo/sim";"1648659584.992101807";"/Leonardo/turtle1/color_sensor,/Leonardo/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,752196, y=11,091574])";"4";"/Donatello/sim";"1648659584.982286107";"/Donatello/turtle1/color_sensor,/Donatello/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,752196, y=11,091574])";"4";"/Pavel/sim";"1648659584.977647903";"/Pavel/turtle1/color_sensor,/Pavel/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,752195, y=11,091574])";"4";"/Leonardo/sim";"1648659584.976169832";"/Leonardo/turtle1/color_sensor,/Leonardo/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
"Oh no! I hit the wall! (Clamping from [x=5,784083, y=11,091931])";"4";"/Donatello/sim";"1648659584.967245155";"/Donatello/turtle1/color_sensor,/Donatello/turtle1/pose,/rosout";"/tmp/binarydeb/ros-noetic-turtlesim-0.10.2/src/turtle.cpp:Turtle::update:169"
